data,label
/home/m448690/ASL4/augmented_data/1/Dilation-*5me7satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Erosion-*6e37satu.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.4hand5_1_dif_seg_2_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate-25hand1_1_top_seg_4_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-170hand5_1_bot_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-50hand1_1_bot_seg_5_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate--15e19satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Erosion-*3hand2_1_bot_seg_1_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Dilation-*5hand4_1_bot_seg_1_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/me6.jpg,1
/home/m448690/ASL4/augmented_data/1/light-2.0e17satu.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.3hand1_1_dif_seg_4_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Erosion-*2hand2_1_top_seg_5_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Dilation-*5hand2_1_left_seg_1_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate--15hand1_1_dif_seg_1_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/light-2.0hand5_1_dif_seg_4_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate--15hand2_1_left_seg_5_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/MedianBLur-7hand1_1_dif_seg_1_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/light-2.0hand5_1_bot_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Dilation-*5e10satu.jpg,1
/home/m448690/ASL4/augmented_data/1/69.jpeg,1
/home/m448690/ASL4/augmented_data/1/Erosion-*2me3satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate-15e42satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate--25hand1_1_dif_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate--15e21satu.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.4hand1_1_top_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/light-1e47satu.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.7me4satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Erosion-*6e45satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Erosion-*6e27satu.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-190e37satu.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.4hand2_1_right_seg_4_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-220e40satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate-25me9satu.jpg,1
/home/m448690/ASL4/augmented_data/1/MedianBLur-7e23satu.jpg,1
/home/m448690/ASL4/augmented_data/1/light-2.0e18satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Dilation-*5hand2_1_top_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate-15hand1_1_left_seg_5_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-200hand4_1_bot_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Erosion-*3e45satu.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-200hand5_1_dif_seg_4_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate--15hand1_1_bot_seg_2_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-190me3satu.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-170hand1_1_bot_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-50hand2_1_bot_seg_5_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/MedianBLur-7hand5_1_bot_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Dilation-*5hand1_1_left_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Erosion-*6hand2_1_right_seg_5_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-50hand2_1_left_seg_2_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate-25hand1_1_left_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/light-2.0hand4_1_bot_seg_1_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Erosion-*6e34satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate-25e44satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Erosion-*6hand2_1_dif_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.4hand2_1_dif_seg_2_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/39.jpeg,1
/home/m448690/ASL4/augmented_data/1/hue-220e33satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate--25e46satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate--25e32satu.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-200hand1_1_dif_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/44.jpeg,1
/home/m448690/ASL4/augmented_data/1/light-2.0me1satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate-15hand2_1_left_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/57.jpeg,1
/home/m448690/ASL4/augmented_data/1/Dilation-*5hand2_1_top_seg_5_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/light-1e24satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Erosion-*2me5satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate--25e42satu.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.3hand5_1_bot_seg_5_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/31.jpeg,1
/home/m448690/ASL4/augmented_data/1/light-1e21satu.jpg,1
/home/m448690/ASL4/augmented_data/1/light-2.0e47satu.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.7e33satu.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-50hand4_1_bot_seg_2_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-170hand1_1_left_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate--15hand1_1_left_seg_4_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-170hand1_1_left_seg_5_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate--15hand1_1_top_seg_5_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.7hand3_1_dif_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/light-1e18satu.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-50hand5_1_bot_seg_5_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate-25hand5_1_bot_seg_2_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.3hand4_1_bot_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/MedianBLur-7e36satu.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-50hand3_1_dif_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/MedianBLur-7me4satu.jpg,1
/home/m448690/ASL4/augmented_data/1/MedianBLur-7e30satu.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.3hand2_1_left_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate--25e22satu.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate--15me0satu.jpg,1
/home/m448690/ASL4/augmented_data/1/MedianBLur-7e21satu.jpg,1
/home/m448690/ASL4/augmented_data/1/light-2.0hand2_1_dif_seg_2_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.3hand3_1_dif_seg_1_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Dilation-*5hand4_1_bot_seg_2_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/24.jpeg,1
/home/m448690/ASL4/augmented_data/1/dark-0.7hand2_1_right_seg_5_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate-25hand1_1_right_seg_1_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate-25hand2_1_bot_seg_5_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.7hand4_1_bot_seg_3_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.7hand1_1_bot_seg_1_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.3hand2_1_dif_seg_1_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Erosion-*6e43satu.jpg,1
/home/m448690/ASL4/augmented_data/1/11.jpeg,1
/home/m448690/ASL4/augmented_data/1/MedianBLur-7e42satu.jpg,1
/home/m448690/ASL4/augmented_data/1/dark-0.4hand1_1_dif_seg_1_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/hue-170hand5_1_bot_seg_4_cropped.jpg,1
/home/m448690/ASL4/augmented_data/1/Rotate-15hand1_1_top_seg_1_cropped.jpg,1
